# File Name: RGD_Gene_List.tsv
# 
# File Type: tab-separated values
# 
# More notes: TBA (to be added, in a future version)
# 
# Column Headers:
# MOD ID	Symbol	Synonyms	Name	Notes
69403	Acsl6	Facl6|LACS 6|Lacsl		
1306813	Acsm1	Bucs1|LOC361638		
708383	Acsm2	Acsm2a|KS|LOC246263		
62086	Acsm3	Sa|Sah		
727928	Acsm4	O-MACS		
1309578	Acsm5	Aa2-174|Cc1-38|LOC361637|RGD1309578		
1306246	Acss1	Acas2l|LOC296259		
1305489	Acss2	Acas2|LOC311569		
1307051	Acss3	LOC314800|RGD1307051		
2025	Acta1			
621676	Acta2			
628837	Actb	Actx		
1309504	Actbl2	LOC294732|RGD1309504		
2026	Actc1	MGC156490		
1304556	Actg1	Actg|LOC287876		
2027	Actg2	MGC105507|SMGA		
6491130	Actl10	LOC100911682		
1310036	Actl11	LOC316000|RGD1310036|Tact3		
1307747	Actl6a	LOC361925|MGC112664|RGD1307747		
1307763	Actl6b	Actl6|BAF53B|LOC288563		
1304697	Actl7a	Arp7a|LOC298017|T-actin 2|Tact2		
1305655	Actl7b	LOC313183		
1306886	Actl9	LOC314659|RGD1306886		
1359476	Actl9b	Actl9|LOC292516		
70907	Actn1			
1308097	Actn2	LOC291245		
621792	Actn3			
61816	Actn4			
1306515	Actr10	LOC299121|MGC95127		
1307025	Actr1a	LOC294010		
1307380	Actr1b	LOC316333|MGC116310		
1310826	Actr2	LOC289820|MGC95085		
71024	Actr3	Arp3|MGC116163		
1565759	Actr3b	LOC362298|RGD1565759		
1307958	Actr5	LOC362258		
1304609	Actr6	LOC314718		
1311878	Actr8	LOC361107		
1359559	Actrt1	LOC302796		
1359657	Actrt2	LOC298671		
1561457	Actrt3	Arpm1|LOC365763|RGD1561457		
620200	Acvr1	ACTR-I|ALK2-B|SKR1|TSR-I		
735207	Acvr1b	ACTR-IB|ALK-4|Skr2		
621789	Acvr1c	Alk-7|Alk7|habrec1		
70911	Acvr2a	Acvr2|rActR-II		
2028	Acvr2b	ActRIIB, type II activin receptor B		
2029	Acvrl1	MGC91691|R-3|R3|SKR3|TSR-I		
2030	Acy1	ACY IA|ACY IB|ACY-1A|ACY-1B|Acy1a|Acy1b		
1305394	Acy3	ACY-3|LOC293653|MGC108859|RGD1305394		
1311327	Acyp1	LOC299203		
1595836	Acyp2	LOC100361559|LOC364224|LOC682245		
1561007	Acyp2-ps1	Acyp2|Mif-ps1		
2031	Ada	MGC108610		
1359309	Adad1	MGC124895|MGC94331|Tenr		
1586236	Adad2	LOC292057|RGD1560949		
1359517	Adal	LOC311352|MGC109297		
2032	Adam10	ADAM 10|LOC501019|MADM|RGD1566370		
1307515	Adam11	LOC360638		
1583652	Adam12	LOC309072|LOC679837		
620402	Adam15	ADAM 15|CRII-7|MDC-15|MDC15|tMDC VI|tMDCVI		
620404	Adam17	TACE		
620405	Adam18	ADAM 18|tMDC III|tMDCIII		
1585017	Adam19	Adam19_mapped|LOC303068|Sox30		
621467	Adam1a	ADAM 1|Adam1|MGC93473|PH-30 alpha|PH-30a		
69299	Adam2	ADAM 2|Ftnb|PH-30|PH30|PH30-beta|beta		
1562912	Adam20	LOC290726|RGD1562912		
6499950	Adam21	LOC100910087		
1585016	Adam22	Adam22_mapped|LOC683655|MDC2		
1305739	Adam23	LOC301460|MDC3		
1309066	Adam24	LOC290774		
1588819	Adam25	LOC688469		
1559501	Adam26a	LOC290763		
727820	Adam28			
1594713	Adam30	LOC690547		
735114	Adam32	LOC361170		
1305278	Adam33	LOC311425		
1589040	Adam34	Adam26b|LOC685846		
1307052	Adam34l	Adam34|LOC364599		
621469	Adam3a	Adam3|tMDC I|tMDCI		
621470	Adam4	MGC125044|tMDC V|tMDCV		
1597022	Adam4l1	LOC500688		
621471	Adam5	MGC108772|tMDC II|tMDCII		
621472	Adam6	TMDCIV|tMDC IV		
62032	Adam7	7|ADAM|ADAM 7|EAP|EAP I|EAPI|I		
1566394	Adam8	LOC499285|RGD1566394		
621473	Adam9	LOC290834|MDC9		
1309861	Adamdec1	LOC290338		
621241	Adamts1			
1598320	Adamts10	LOC314655|LOC362847|MGC124747		
1307323	Adamts12	LOC294809		
1311594	Adamts13	LOC102554393|LOC362091		
1308899	Adamts14	LOC309837		
1309770	Adamts15	LOC300474		
1310046	Adamts16	LOC306664		
1308783	Adamts17	LOC293004		
1560118	Adamts18	LOC361412|RGD1560118		
1308359	Adamts19	LOC361332		
1565950	Adamts2	LOC287899|RGD1565950		
1307725	Adamts20	LOC315263		
1310750	Adamts3	LOC305253		
621242	Adamts4			
735196	Adamts5			
1307678	Adamts6	LOC361886		
1306713	Adamts7	ADAM-TS 7|ADAM-TS7|ADAMTS-7|ADAMTS7B|LOC315879		
1308511	Adamts8	LOC300475		
1306889	Adamts9	LOC312566		
1306439	Adamtsl1	LOC362539		
1305459	Adamtsl2	LOC311827|RGD1305459		
1305155	Adamtsl3	LOC308787		
1561012	Adamtsl4	MGC116260|Tsrc1		
1305607	Adamtsl5	LOC314626|Thsd6		
621418	Adap1	Centa1|p42IP4		
708487	Adap2	Centa2|LOC56826|cnt-a2		
71099	Adar			
2033	Adarb1	Adar2|RED1		
621519	Adarb2	Adar3|Red2		
1591020	Adat1	LOC690810		
1309642	Adat2	Deadc1|LOC361453		
1642417	Adat3	MGC112753		
1308263	Adck1	LOC366698		
1311058	Adck2	LOC312258		
1305504	Adck5	LOC362943|MGC112651|MGC188570		
1309318	Adcy1	Ac1		
708450	Adcy10	LOC59320|Sac		
619965	Adcy2	AC2		
71009	Adcy3	AC-III|AC3		
2034	Adcy4	MGC93493		
71014	Adcy5			
2035	Adcy6	AC6|ACVI		
619966	Adcy7			
2036	Adcy8	Ac8		
1304747	Adcy9	LOC100362008|LOC302950		
2037	Adcyap1			
2038	Adcyap1r1	PAC1-R|PACAP-R-1|PACAP-R-1A|PACAP-R1|PACAP-R1A|PACAPR1|PACAPR1A		
2041	Add1	MGC124621|alpha-ADD		
2042	Add2	beta-ADD		
2043	Add3			
1564259	Adgb	LOC292477|RGD1564259		
1308241	Adgra1	Gpr123|LOC309097		
2323365	Adgra2	Gpr124|LOC100363275|LOC306543		
