# input[ftp://ftp.sanger.ac.uk/pub/consortia/wormbase/STAFF/mh6/nightly_geneace/clones2.ace.gz] script ingest_wormbase_clone2.groovy
#Thu Mar 15 21:28:18 PDT 2018
# ID|SYMBOL|NAME|SYNONYMS|NOTES
2L52	2L52		2L52|Caenorhabditis elegans
JHLNE2	JHLNE2		Caenorhabditis elegans
JK100	JK100		Caenorhabditis elegans
JK101	JK101		Caenorhabditis elegans
JK101!	JK101!		Caenorhabditis elegans
JK102	JK102		Caenorhabditis elegans
JK102!	JK102!		Caenorhabditis elegans
JKCS11	JKCS11		Caenorhabditis elegans
JKCS12	JKCS12		Caenorhabditis elegans
JKCS13	JKCS13		Caenorhabditis elegans
JS3A1	JS3A1		JQ990141|Caenorhabditis elegans
JS5A2	JS5A2		Caenorhabditis elegans
L5.1	L5.1		GH333860|Caenorhabditis elegans
L30	L30		Caenorhabditis elegans
L40	L40		Caenorhabditis elegans
L51	L51		Caenorhabditis elegans
L120	L120		Caenorhabditis elegans
L121	L121		Caenorhabditis elegans
L122	L122		Caenorhabditis elegans
L136	L136		Caenorhabditis elegans
L137	L137		Caenorhabditis elegans
L138	L138		Caenorhabditis elegans
L139	L139		Caenorhabditis elegans
L2142	L2142		Caenorhabditis elegans
L2184	L2184		Caenorhabditis elegans
L2458	L2458		Caenorhabditis elegans
L2825	L2825		Caenorhabditis elegans
L3209	L3209		L02877|Caenorhabditis elegans
L3502	L3502		Caenorhabditis elegans
L4005	L4005		L03711|Caenorhabditis elegans
L4904	L4904		L04287|Caenorhabditis elegans
L4952	L4952		Caenorhabditis elegans
L5018	L5018		Caenorhabditis elegans
LDM17	LDM17		L80003|Caenorhabditis elegans
LDM22	LDM22		Caenorhabditis elegans
LF46H5	LF46H5		Caenorhabditis elegans
LG11.1	LG11.1		Caenorhabditis elegans
LG11.1A	LG11.1A		Caenorhabditis elegans
LJSF9	LJSF9		Caenorhabditis elegans
LNE2!	LNE2!		LLC1|Caenorhabditis elegans
LRP	LRP		Caenorhabditis elegans
MA5	MA5		M94671|Caenorhabditis elegans
MA7	MA7		Caenorhabditis elegans
MB4	MB4		Caenorhabditis elegans
MFL113	MFL113		Caenorhabditis elegans
MFL331	MFL331		Caenorhabditis elegans
MFL3316	MFL3316		Caenorhabditis elegans
MFL3317	MFL3317		Caenorhabditis elegans
MH1	MH1		Caenorhabditis elegans
MKL4	MKL4		Caenorhabditis elegans
MKL5	MKL5		Caenorhabditis elegans
MKL9	MKL9		Caenorhabditis elegans
MKL10	MKL10		Caenorhabditis elegans
MKL12	MKL12		Caenorhabditis elegans
MKL13	MKL13		Caenorhabditis elegans
MKL14	MKL14		Caenorhabditis elegans
